,title,price,link
0,MSI Ryzen 5 Hexa Core 7530U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C7M-062IN Thin and Light La...,"['', '45,990', '64,99029% off']",https://www.flipkart.com/msi-ryzen-5-hexa-core-7530u-16-gb-512-gb-ssd-windows-11-home-modern-14-c7m-062in-thin-light-laptop/p/itm4378d55af2734?pid=COMGMV6VNCJ7TTYV&lid=LSTCOMGMV6VNCJ7TTYVJYI44H&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_caUA2gEvIDf6ZRq5WHPOUf7ubYg_NWGiXAotCbiALr2afWjRtU5QrBykNRGgTFpKjfyTeNULsfS5luuVuEH-Dw%3D%3D&ppt=None&ppn=None&ssid=pz06t3hn1c0000001688283883844&qH=312f91285e048e09
1,Lenovo IdeaPad Gaming 3 Intel Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA...,"['', '64,990', '93,69030% off']",https://www.flipkart.com/lenovo-ideapad-gaming-3-intel-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-15ihu6d2-laptop/p/itm78e98bb9abfb1?pid=COMGBNFUHREA8EJN&lid=LSTCOMGBNFUHREA8EJNCOPCZZ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_caUA2gEvIDf6ZRq5WHPOUf7ubYg_NWGiXAotCbiALr0XeDrfhQkGMhgMm8F8RDfKE9xrYZmMMxUAeDD5cDh8qA%3D%3D&ppt=None&ppn=None&ssid=pz06t3hn1c0000001688283883844&qH=312f91285e048e09
2,APPLE 2020 Macbook Air M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGN63HN/A,"['', '81,990', '99,90017% off']",https://www.flipkart.com/apple-2020-macbook-air-m1-8-gb-256-gb-ssd-mac-os-big-sur-mgn63hn-a/p/itmde54f026889ce?pid=COMFXEKMGNHZYFH9&lid=LSTCOMFXEKMGNHZYFH9P56X45&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=a532cf2c-55c2-4033-a7dd-334f6fa97099.COMFXEKMGNHZYFH9.SEARCH&ppt=None&ppn=None&ssid=pz06t3hn1c0000001688283883844&qH=312f91285e048e09
3,ASUS Vivobook 15 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EJ322WS | X515EA-EJ328WS ...,"['', '34,990', '56,99038% off']",https://www.flipkart.com/asus-vivobook-15-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-x515ea-ej322ws-x515ea-ej328ws-thin-light-laptop/p/itmaafbc240a8774?pid=COMGA5TUCZAV4HGH&lid=LSTCOMGA5TUCZAV4HGHWM8PS0&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&spotlightTagId=BestsellerId_6bo%2Fb5g&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=a532cf2c-55c2-4033-a7dd-334f6fa97099.COMGA5TUCZAV4HGH.SEARCH&ppt=None&ppn=None&ssid=pz06t3hn1c0000001688283883844&qH=312f91285e048e09
4,realme Book (Slim) Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) RMNB1001 Thin and Light Laptop,"['', '35,990', '54,99934% off']",https://www.flipkart.com/realme-book-slim-core-i3-11th-gen-8-gb-256-gb-ssd-windows-10-home-rmnb1001-thin-light-laptop/p/itm7109ffde0b2cc?pid=COMG5YDPYEB7ZAKK&lid=LSTCOMG5YDPYEB7ZAKKVEOVUY&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=a532cf2c-55c2-4033-a7dd-334f6fa97099.COMG5YDPYEB7ZAKK.SEARCH&ppt=None&ppn=None&ssid=pz06t3hn1c0000001688283883844&qH=312f91285e048e09
5,Lenovo Intel Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) 81WQ00MQIN|81WQ00NXIN Laptop,"['', '26,989', '46,09041% off']",https://www.flipkart.com/lenovo-intel-celeron-dual-core-8-gb-256-gb-ssd-windows-11-home-81wq00mqin-81wq00nxin-laptop/p/itm2560cd9192f02?pid=COMGDMXVJJB2HGMY&lid=LSTCOMGDMXVJJB2HGMYLAIFLM&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=a532cf2c-55c2-4033-a7dd-334f6fa97099.COMGDMXVJJB2HGMY.SEARCH&ppt=None&ppn=None&ssid=pz06t3hn1c0000001688283883844&qH=312f91285e048e09
6,ASUS Vivobook 15 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EJ522WS Thin and Light La...,"['', '44,990', '69,99035% off']",https://www.flipkart.com/asus-vivobook-15-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-x515ea-ej522ws-thin-light-laptop/p/itm85cfbc3a2e8a7?pid=COMGFHNGGWNDVGSY&lid=LSTCOMGFHNGGWNDVGSY5C6JML&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&spotlightTagId=BestsellerId_6bo%2Fb5g&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=a532cf2c-55c2-4033-a7dd-334f6fa97099.COMGFHNGGWNDVGSY.SEARCH&ppt=None&ppn=None&ssid=pz06t3hn1c0000001688283883844&qH=312f91285e048e09
7,MSI Ryzen 5 Hexa Core 7530U - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C7M-063IN Thin and Light Lap...,"['', '43,990', '61,99029% off']",https://www.flipkart.com/msi-ryzen-5-hexa-core-7530u-8-gb-512-gb-ssd-windows-11-home-modern-14-c7m-063in-thin-light-laptop/p/itm30199c1f4a132?pid=COMGMV6VHGPAGP55&lid=LSTCOMGMV6VHGPAGP553JIQX6&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=en_caUA2gEvIDf6ZRq5WHPOUf7ubYg_NWGiXAotCbiALr1oRrbsaH5ybsuycMjg9xL05KaC3n2L2GgzeHQ8dUipTA%3D%3D&ppt=None&ppn=None&ssid=pz06t3hn1c0000001688283883844&qH=312f91285e048e09
8,HP 15s (2023) Intel Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5003TU Thin and Light L...,"['', '42,490', '51,26617% off']",https://www.flipkart.com/hp-15s-2023-intel-core-i3-12th-gen-8-gb-512-gb-ssd-windows-11-home-15s-fy5003tu-thin-light-laptop/p/itm2260c2112e85a?pid=COMGZVGHE9QU8C6M&lid=LSTCOMGZVGHE9QU8C6M1AFYO2&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=a532cf2c-55c2-4033-a7dd-334f6fa97099.COMGZVGHE9QU8C6M.SEARCH&ppt=None&ppn=None&ssid=pz06t3hn1c0000001688283883844&qH=312f91285e048e09
9,DELL Inspiron Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 3511 Thin and Light Laptop,"['', '38,490', '59,11934% off']",https://www.flipkart.com/dell-inspiron-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-3511-thin-light-laptop/p/itma07f53e68b4af?pid=COMGF478WJG7FDQQ&lid=LSTCOMGF478WJG7FDQQDGMUKW&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=a532cf2c-55c2-4033-a7dd-334f6fa97099.COMGF478WJG7FDQQ.SEARCH&ppt=None&ppn=None&ssid=pz06t3hn1c0000001688283883844&qH=312f91285e048e09
